id,name,environment,start_at,players,display_format,regulation_marks,latest_expansion,format_start_at,hours_into_format
66cf259abf2ffe05f5991ffa,瞬间失忆联赛第一赛季第15场 Amnesia Series S1-15【Top16 200code】,online,2024-09-01T01:00:00Z,128,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,1.0
66cb8f20bf2ffe05f598f5f0,Pokémon Battle Park- 100 Codes,online,2024-09-01T16:00:00Z,156,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,16.0
66d1e107bf2ffe05f59943e9,Silver Squad weekly Pawmots Charge,online,2024-09-02T14:00:00Z,109,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,38.0
66d4b25dbf2ffe05f5996c4a,Standard Pumpka Weekly,online,2024-09-02T18:00:00Z,194,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,42.0
66cce2ffbf2ffe05f5990523,Sunny's Weekly #168 Docking In The Harbor!,online,2024-09-02T22:05:00Z,128,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,46.083
669ef610931edf05c6134c6d,Free Entry ║ Deck Out Mondays ║ Top 32 400 Codes,online,2024-09-03T00:00:00Z,193,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,48.0
66cf8fbabf2ffe05f599268c,Gray's PokéLeague #8,online,2024-09-03T18:00:00Z,117,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,66.0
66d333d0bf2ffe05f5995964,Sem Pila Cyber League - free entry!,online,2024-09-03T23:00:00Z,63,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,71.0
66c5674e82e459668d3662d8,Jefferson Gym Tuesday Night Standard #7,online,2024-09-04T00:30:00Z,114,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,72.5
66d31fe3bf2ffe05f5995826,Bak & Bak PokeLeague #16,online,2024-09-04T12:00:00Z,57,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,84.0
66cf7395bf2ffe05f599251d,🐉Team Rocket League Day #182,online,2024-09-04T18:35:00Z,76,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,90.583
66cfa12fbf2ffe05f5992752,Late Night 202 - Season 10 NA Opener,online,2024-09-04T23:00:00Z,276,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,95.0
66d0d69dbf2ffe05f59938bc,🐉Team Rocket League Day #183,online,2024-09-05T16:35:00Z,109,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,112.583
66d0d6bcbf2ffe05f59938bd,🐉Team Rocket League Day #184,online,2024-09-05T18:35:00Z,80,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,114.583
66ace52782e459668d352919,Evolve Thursday Night #9 - Store Credit + Codes,online,2024-09-05T23:00:00Z,125,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,119.0
66d4ea5abf2ffe05f5996e80,Pokémon Battle Park- 100 Codes,online,2024-09-06T14:30:00Z,125,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,134.5
66820fdf30c276060508799e,Peladão da Baixada #122 • Dawn of Area Zero,online,2024-09-06T22:30:00Z,64,BRS-SFA,F-H,SFA,2024-09-01T00:00:00Z,142.5
66e1e2bcbeaddc6f2ee51231,🎃Team Rocket League Day #191,online,2024-09-19T18:35:00Z,55,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,169.583
66e792b9a39c5e0621c039eb,PokeDeck #69 |100 CODES |OPEN  Stellar crown,online,2024-09-19T23:30:00Z,176,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,174.5
66e68391a39c5e0621c02d76,Pokémon Battle Park- Stellar Crown is Legal,online,2024-09-20T14:30:00Z,150,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,189.5
66e7e843a39c5e0621c03ac9,Absolem TCG - Cup #1,online,2024-09-20T17:00:00Z,72,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,192.0
66e31cf6beaddc6f2ee51e34,🎃Team Rocket League Day #192,online,2024-09-20T19:05:00Z,90,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,194.083
6682103830c27606050879a1,Peladão da Baixada #123 • STELLAR CROWN is ON!,online,2024-09-20T22:30:00Z,71,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,197.5
66b6a8ef82e459668d35bcf3,TOURNAMENT OF DOOM! Name my new Cat!,online,2024-09-21T02:35:00Z,261,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,201.583
66e5d3baa39c5e0621c02850,Mini Stellar Crown (Free Entry)(160 codes)(3 hr),online,2024-09-21T15:00:00Z,96,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,214.0
66c83352bf2ffe05f598c718,Jester's Weekly Challenge! #3 (Pre-Season),online,2024-09-21T17:00:00Z,61,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,216.0
66cf79e6bf2ffe05f599258b,Redacted Crown #2 (100 Codes) CLOSED LISTS,online,2024-09-21T23:05:00Z,167,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,222.083
66d463c5bf2ffe05f59966ea,Silver Squad Standard “Dortmund Regionals 2025”,online,2024-09-22T15:20:00Z,139,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,238.333
66e683c7a39c5e0621c02d77,Pokémon Battle Park- Stellar Crown is Legal,online,2024-09-22T16:00:00Z,79,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,239.0
66de2f70beaddc6f2ee4ecf5,Stellar Ditto #1 SCR is legal! (100 codes + Cash),online,2024-09-22T23:05:00Z,343,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,246.083
66f02d24a39c5e0621c08f29,Standard Pumpka Weekly,online,2024-09-23T18:00:00Z,201,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,265.0
66e8797ba39c5e0621c03fdb,Sunny's Weekly #171 The Turtle Club!,online,2024-09-23T22:05:00Z,128,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,269.083
669ef68a931edf05c6134c70,Free Entry ║ Deck Out Mondays ║ Top 32 400 Codes,online,2024-09-24T00:00:00Z,226,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,271.0
66e9a38ea39c5e0621c04cbb,Absolem TCG - Challenge #1,online,2024-09-24T16:30:00Z,103,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,287.5
66db34545bc39d158a9ddaa5,Gray's PokéLeague - Champion's Road #1,online,2024-09-24T18:00:00Z,114,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,289.0
66f200c0a39c5e0621c0a6bb,PokeDeck #70,online,2024-09-24T23:30:00Z,50,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,294.5
66d8874ebf2ffe05f59994fb,Jefferson Gym Tuesday Night Standard #9,online,2024-09-25T00:30:00Z,74,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,295.5
66c77eda82e459668d367915,CHALLENGE OF DOOM! Is it really Tuesday?,online,2024-09-25T03:35:00Z,64,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,298.583
66f044f5a39c5e0621c0914d,MOSCO Masters: Pokemon TCG Live Tournament #1,online,2024-09-25T13:00:00Z,57,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,308.0
66cfa7a4bf2ffe05f5992808,Late Night 207,online,2024-09-25T16:00:00Z,217,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,311.0
66edc7b6a39c5e0621c0759b,JPX Tournament,online,2024-09-25T19:20:00Z,51,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,314.333
66d07c50bf2ffe05f5993153,Late Night 208,online,2024-09-25T23:00:00Z,292,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,318.0
66ec762ea39c5e0621c067f9,🎃Team Rocket League Day #193,online,2024-09-26T16:35:00Z,115,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,335.583
66ec7680a39c5e0621c067fa,🎃Team Rocket League Day #194,online,2024-09-26T18:35:00Z,68,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,337.583
66f032a9a39c5e0621c08f6b,Pokémon Battle Park- 100 Codes,online,2024-09-27T14:30:00Z,124,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,357.5
66ecc2bfa39c5e0621c06c4b,🎃Team Rocket League Day #195,online,2024-09-27T19:05:00Z,90,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,362.083
66edc47ba39c5e0621c07552,Poli's Poolhouse Weekly! #4,online,2024-09-27T22:30:00Z,58,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,365.5
66b6a93a82e459668d35bcf7,TOURNAMENT OF DOOM! Ouch!,online,2024-09-28T02:35:00Z,245,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,369.583
66c83366bf2ffe05f598c719,Jester's Weekly Challenge! #4 (Pre-Season),online,2024-09-28T17:00:00Z,64,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,384.0
66cf7ae2bf2ffe05f599259a,Redacted Crown #3 (100 Codes) CLOSED LISTS,online,2024-09-28T23:05:00Z,142,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,390.083
66efb217a39c5e0621c08b79,Mentis Fortis X,online,2024-09-29T01:00:00Z,54,BRS-SCR,F-H,SCR,2024-09-12T17:00:00Z,392.0
