pair_id,format,source_cohort,target_cohort,source_date,target_date,persistence_accuracy
C004->C005,BRS-SCR,C004,C005,2024-10-11,2024-10-19,89.07948999556328
C005->C006,BRS-SCR,C005,C006,2024-10-19,2024-11-02,88.10396209736572
C009->C010,BRS-SSP,C009,C010,2024-11-22,2024-11-30,85.2678909166173
C010->C011,BRS-SSP,C010,C011,2024-11-30,2024-12-07,79.65159547062662
C011->C012,BRS-SSP,C011,C012,2024-12-07,2024-12-13,83.13211929574484
C012->C013,BRS-SSP,C012,C013,2024-12-13,2025-01-18,86.18310773112098
C013->C014,BRS-SSP,C013,C014,2025-01-18,2025-01-24,86.94225348295116
C015->C016,BRS-PRE,C015,C016,2025-02-08,2025-02-15,77.11727950012016
C016->C017,BRS-PRE,C016,C017,2025-02-15,2025-02-21,83.85807591633845
C017->C018,BRS-PRE,C017,C018,2025-02-21,2025-03-07,81.3559726799446
C018->C019,BRS-PRE,C018,C019,2025-03-07,2025-03-22,83.89382611675425
C019->C020,BRS-PRE,C019,C020,2025-03-22,2025-03-29,81.5796733762124
C021->C022,SVI-JTG,C021,C022,2025-04-11,2025-04-19,78.86621315192744
C022->C023,SVI-JTG,C022,C023,2025-04-19,2025-04-26,82.9394072071729
C023->C024,SVI-JTG,C023,C024,2025-04-26,2025-05-02,71.34514141995439
C024->C025,SVI-JTG,C024,C025,2025-05-02,2025-05-17,82.8301672487719
C025->C026,SVI-JTG,C025,C026,2025-05-17,2025-05-23,90.75816928645808
C026->C027,SVI-JTG,C026,C027,2025-05-23,2025-05-31,85.26101201310522
C029->C030,SVI-BLK/WHT,C029,C030,2025-08-15,2025-09-13,76.55578296114078
C030->C031,SVI-BLK/WHT,C030,C031,2025-09-13,2025-09-19,87.64123990612424
C032->C033,SVI-MEG,C032,C033,2025-10-10,2025-10-25,83.51585510461692
C033->C034,SVI-MEG,C033,C034,2025-10-25,2025-11-01,85.29490805430933
C034->C035,SVI-MEG,C034,C035,2025-11-01,2025-11-14,87.89167186223288
C035->C036,SVI-MEG,C035,C036,2025-11-14,2025-11-21,88.99037413137196
C037->C038,SVI-PFL,C037,C038,2025-11-29,2026-01-16,75.31715345367172
C040->C041,SVI-PFL,C040,C041,2026-02-07,2026-02-13,89.1890919649212
C041->C042,SVI-PFL,C041,C042,2026-02-13,2026-02-27,84.76118652589241
C043->C044,SVI-ASC,C043,C044,2026-03-07,2026-03-14,84.43154248931947
C044->C045,SVI-ASC,C044,C045,2026-03-14,2026-03-20,89.3773679548341
C045->C046,SVI-ASC,C045,C046,2026-03-20,2026-03-28,87.5391797073351
C046->C047,SVI-ASC,C046,C047,2026-03-28,2026-04-03,88.72854780670446
C048->C049,TEF-POR,C048,C049,2026-04-25,2026-05-08,76.25845908877066
C049->C050,TEF-POR,C049,C050,2026-05-08,2026-05-16,86.07236683098722
C050->C051,TEF-POR,C050,C051,2026-05-16,2026-05-23,84.71215756650736
C051->C052,TEF-POR,C051,C052,2026-05-23,2026-05-29,83.44781390817197
C053->C054,TEF-CRI,C053,C054,2026-06-06,2026-06-12,81.98694282036693
