pair_id,format,source_cohort,target_cohort,source_start_date,source_end_date,target_start_date,target_end_date,gap_calendar_days,gap_days,target_days_into_format,source_players,target_players,source_capture_min,target_capture_min,prior_eligible_cohort_count,momentum_available,persistence_accuracy
C004->C005,BRS-SCR,C004,C005,2024-10-11,2024-10-13,2024-10-19,2024-10-20,6,6,22.0,1938,1311,0.9979360165118679,1.0,2,False,89.07948999556328
C005->C006,BRS-SCR,C005,C006,2024-10-19,2024-10-20,2024-11-02,2024-11-03,13,13,36.0,1311,1372,1.0,0.9963556851311953,3,True,88.10396209736572
C009->C010,BRS-SSP,C009,C010,2024-11-22,2024-11-24,2024-11-30,2024-12-01,6,6,8.0,1705,1702,0.9958944281524926,0.9976498237367802,1,False,85.2678909166173
C010->C011,BRS-SSP,C010,C011,2024-11-30,2024-12-01,2024-12-07,2024-12-08,6,6,15.0,1702,533,0.9976498237367802,0.986046511627907,2,True,79.65159547062662
C011->C012,BRS-SSP,C011,C012,2024-12-07,2024-12-08,2024-12-13,2024-12-15,5,5,21.0,533,2137,0.986046511627907,0.9990641085634067,3,True,83.13211929574484
C012->C013,BRS-SSP,C012,C013,2024-12-13,2024-12-15,2025-01-18,2025-01-19,34,34,57.0,2137,3157,0.9990641085634067,0.998017839444995,4,True,86.18310773112098
C013->C014,BRS-SSP,C013,C014,2025-01-18,2025-01-19,2025-01-24,2025-01-26,5,5,63.0,3157,2400,0.998017839444995,0.9970833333333333,5,True,86.94225348295116
C015->C016,BRS-PRE,C015,C016,2025-02-08,2025-02-09,2025-02-15,2025-02-16,6,6,15.0,1151,299,0.998262380538662,0.9866220735785953,1,False,77.11727950012016
C016->C017,BRS-PRE,C016,C017,2025-02-15,2025-02-16,2025-02-21,2025-02-23,5,5,21.0,299,3361,0.9866220735785953,0.9979172865218685,2,True,83.85807591633845
C017->C018,BRS-PRE,C017,C018,2025-02-21,2025-02-23,2025-03-07,2025-03-09,12,12,35.5,3361,2029,0.9979172865218685,0.993006993006993,3,True,81.3559726799446
C018->C019,BRS-PRE,C018,C019,2025-03-07,2025-03-09,2025-03-22,2025-03-23,13,13,50.0,2029,815,0.993006993006993,0.9987730061349693,4,True,83.89382611675425
C019->C020,BRS-PRE,C019,C020,2025-03-22,2025-03-23,2025-03-29,2025-03-30,6,6,57.0,815,470,0.9987730061349693,0.9957446808510638,5,True,81.5796733762124
C021->C022,SVI-JTG,C021,C022,2025-04-11,2025-04-13,2025-04-19,2025-04-20,6,6,8.0,2684,1327,0.9951564828614009,0.9924642049736248,1,False,78.86621315192744
C022->C023,SVI-JTG,C022,C023,2025-04-19,2025-04-20,2025-04-26,2025-04-27,6,6,15.0,1327,817,0.9924642049736248,0.9975520195838433,2,True,82.9394072071729
C023->C024,SVI-JTG,C023,C024,2025-04-26,2025-04-27,2025-05-02,2025-05-04,5,5,21.0,817,1657,0.9975520195838433,0.996378998189499,3,True,71.34514141995439
C024->C025,SVI-JTG,C024,C025,2025-05-02,2025-05-04,2025-05-17,2025-05-18,13,13,36.0,1657,3053,0.996378998189499,0.9935948759007206,4,True,82.8301672487719
C025->C026,SVI-JTG,C025,C026,2025-05-17,2025-05-18,2025-05-23,2025-05-25,5,5,42.0,3053,1688,0.9935948759007206,0.9982227488151659,5,True,90.75816928645808
C026->C027,SVI-JTG,C026,C027,2025-05-23,2025-05-25,2025-05-31,2025-06-01,6,6,50.0,1688,1239,0.9982227488151659,0.9983857949959645,6,True,85.26101201310522
C029->C030,SVI-BLK/WHT,C029,C030,2025-08-15,2025-08-17,2025-09-13,2025-09-14,27,27,43.0,721,4053,0.9958391123439667,0.9938271604938271,1,False,76.55578296114078
C030->C031,SVI-BLK/WHT,C030,C031,2025-09-13,2025-09-14,2025-09-19,2025-09-21,5,5,49.0,4053,2691,0.9938271604938271,0.9996283909327388,2,True,87.64123990612424
C032->C033,SVI-MEG,C032,C033,2025-10-10,2025-10-12,2025-10-25,2025-10-26,13,13,15.0,3422,2028,0.9946284691136974,0.9985207100591716,1,False,83.51585510461692
C033->C034,SVI-MEG,C033,C034,2025-10-25,2025-10-26,2025-11-01,2025-11-02,6,6,22.0,2028,2292,0.9985207100591716,0.9967585089141004,2,True,85.29490805430933
C034->C035,SVI-MEG,C034,C035,2025-11-01,2025-11-02,2025-11-14,2025-11-16,12,12,35.5,2292,3269,0.9967585089141004,0.9857142857142858,3,True,87.89167186223288
C035->C036,SVI-MEG,C035,C036,2025-11-14,2025-11-16,2025-11-21,2025-11-23,5,5,42.0,3269,2117,0.9857142857142858,0.9990552668871044,4,True,88.99037413137196
C037->C038,SVI-PFL,C037,C038,2025-11-29,2025-11-30,2026-01-16,2026-01-18,47,47,49.0,2200,2270,0.9977272727272727,0.9986784140969163,1,False,75.31715345367172
C040->C041,SVI-PFL,C040,C041,2026-02-07,2026-02-08,2026-02-13,2026-02-15,5,5,77.0,2369,4010,0.9971387696709585,0.9987531172069826,3,False,89.1890919649212
C041->C042,SVI-PFL,C041,C042,2026-02-13,2026-02-15,2026-02-27,2026-03-01,12,12,91.0,4010,2231,0.9987531172069826,0.9968623935454953,4,True,84.76118652589241
C043->C044,SVI-ASC,C043,C044,2026-03-07,2026-03-08,2026-03-14,2026-03-15,6,6,8.0,356,1449,0.9691011235955056,0.9986197377501725,1,False,84.43154248931947
C044->C045,SVI-ASC,C044,C045,2026-03-14,2026-03-15,2026-03-20,2026-03-22,5,5,14.0,1449,2635,0.9986197377501725,0.9992409867172676,2,True,89.3773679548341
C045->C046,SVI-ASC,C045,C046,2026-03-20,2026-03-22,2026-03-28,2026-03-29,6,6,22.0,2635,1337,0.9992409867172676,0.9992520568436799,3,True,87.5391797073351
C046->C047,SVI-ASC,C046,C047,2026-03-28,2026-03-29,2026-04-03,2026-04-05,5,5,28.5,1337,4191,0.9992520568436799,0.991701244813278,4,True,88.72854780670446
C048->C049,TEF-POR,C048,C049,2026-04-25,2026-04-26,2026-05-08,2026-05-10,12,12,28.0,1370,1849,0.9978102189781022,0.9972958355868037,1,False,76.25845908877066
C049->C050,TEF-POR,C049,C050,2026-05-08,2026-05-10,2026-05-16,2026-05-17,6,6,36.0,1849,3875,0.9972958355868037,0.9967441860465116,2,True,86.07236683098722
C050->C051,TEF-POR,C050,C051,2026-05-16,2026-05-17,2026-05-23,2026-05-24,6,6,43.0,3875,1458,0.9967441860465116,0.9719438877755511,3,True,84.71215756650736
C051->C052,TEF-POR,C051,C052,2026-05-23,2026-05-24,2026-05-29,2026-05-31,5,5,49.0,1458,1974,0.9719438877755511,0.9979736575481256,4,True,83.44781390817197
C053->C054,TEF-CRI,C053,C054,2026-06-06,2026-06-07,2026-06-12,2026-06-14,5,5,7.0,2033,3752,0.999508116084604,0.9976012793176973,1,False,81.98694282036693
