rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
1,0.95,0.03,0.2,84.77612796389059,85.02450491874389,0.6642030080373047,2.57299878153961,8.403875103617182
2,0.95,0.03,0.15,84.77563009687798,85.0327311401407,0.6637051410246926,2.572500914526998,8.40337723660457
3,0.95,0.03,0.25,84.77070677744956,85.01028360563946,0.6587818215962784,2.5675775950985837,8.398453917176155
4,0.85,0.02,0.3,84.76787120674815,85.06071050332267,0.6559462508948712,2.5647420243971766,8.395618346474748
5,0.9,0.03,0.2,84.76780563217572,85.04778271939423,0.6558806763224396,2.564676449824745,8.395552771902317
6,0.9,0.03,0.15,84.7673077651631,85.05600894079106,0.6553828093098133,2.5641785828121186,8.39505490488969
7,0.95,0.03,0.3,84.76384168136534,84.99413247659615,0.6519167255120522,2.5607124990143575,8.39158882109193
8,0.9,0.03,0.25,84.7623844457347,85.0335614062898,0.6504594898814133,2.5592552633837187,8.39013158546129
9,0.95,0.03,0.1,84.76022867682303,85.02336003910118,0.64830372096975,2.5570994944720553,8.387975816549627
10,0.85,0.02,0.35,84.75928558324144,85.04221309591595,0.6473606273881529,2.5561564008904583,8.38703272296803
11,0.85,0.02,0.25,84.75810884758089,85.05399888139516,0.6461838917276026,2.554979665229908,8.38585598730748
12,0.9,0.03,0.3,84.75551934965046,85.0174102772465,0.6435943937971729,2.552390167299478,8.38326648937705
13,0.95,0.03,0.35,84.75136172305089,84.9702803588288,0.6394367671976084,2.548232540699914,8.379108862777485
14,0.85,0.02,0.2,84.74826567412923,85.04723169964716,0.636340718275946,2.5451364917782513,8.376012813855823
15,0.8,0.02,0.25,84.7452152199693,85.07810941278483,0.6332902641160132,2.5420860376183185,8.37296235969589
16,0.9,0.03,0.35,84.74303939133601,84.99355815947916,0.6311144354827292,2.5399102089850345,8.370786531062606
17,0.85,0.02,0.4,84.7424087257675,85.01308059222977,0.6304837699142212,2.5392795434165265,8.370155865494098
18,0.8,0.02,0.3,84.74162126545865,85.06645610340519,0.6296963096053645,2.53849208310767,8.369368405185241
19,1.0,0.04,0.2,84.73789455589689,84.96018049175998,0.6259696000436037,2.534765373545909,8.36564169562348
20,1.0,0.04,0.15,84.73739668888426,84.9684067131568,0.6254717330309774,2.5342675065332827,8.365143828610854
21,0.8,0.02,0.2,84.73537204651763,85.07134223103681,0.6234470906643423,2.5322428641666477,8.36311918624422
22,0.85,0.02,0.15,84.73530452716315,85.03832091110797,0.6233795713098687,2.532175344812174,8.363051666889746
23,0.95,0.03,0.4,84.73448486557696,84.94114785514262,0.6225599097236767,2.531355683225982,8.362232005303554
24,1.0,0.04,0.25,84.73247336945585,84.94595917865554,0.6205484136025632,2.5293441871048685,8.36022050918244
25,0.8,0.02,0.35,84.72914130714418,85.04260398563784,0.6172163512908924,2.5260121247931977,8.35688844687077
26,0.9,0.03,0.1,84.72660147378777,85.011843641686,0.614676517934484,2.5234722914367893,8.354348613514361
27,0.9,0.03,0.4,84.72616253386208,84.96442565579297,0.6142375780087974,2.5230333515111028,8.353909673588674
28,1.0,0.04,0.3,84.72560827337162,84.92980804961223,0.6136833175183369,2.5224790910206423,8.353355413098214
29,0.9,0.02,0.35,84.72473930126078,84.97785184867693,0.6128143454075001,2.5216101189098055,8.352486440987377
30,0.8,0.02,0.15,84.72241089955156,85.06243144249763,0.6104859436982792,2.5192817172005846,8.350158039278156
31,0.85,0.02,0.45,84.72208149827398,84.9803484188119,0.6101565424206967,2.518952315923002,8.349828638000574
32,0.85,0.02,0.1,84.7181323794744,85.02651505957195,0.6062074236211146,2.51500319712342,8.345879519200992
33,0.9,0.02,0.3,84.71500522840991,84.97115967359197,0.6030802725566247,2.51187604605893,8.342752368136502
34,1.0,0.03,0.2,84.71425244944189,84.93946496081267,0.6023274935886036,2.511123267090909,8.34199958916848
35,0.95,0.03,0.45,84.71415763808344,84.90841568172475,0.6022326822301522,2.5110284557324576,8.34190477781003
