series,cohort_id,date,event_count,cohort_mean_accuracy_pct
online_all_primary,C001,2024-09-13,1,76.81389284956062
online_all_primary,C002,2024-09-28,2,73.09173969508927
online_all_primary,C004,2024-10-11,1,62.84074107797102
online_all_primary,C005,2024-10-19,1,67.94419786604904
online_all_primary,C006,2024-11-02,1,71.72498558193521
online_all_primary,C008,2024-11-15,1,71.55998847062193
online_all_primary,C009,2024-11-22,1,70.2350464211781
online_all_primary,C010,2024-11-30,1,73.69696722398473
online_all_primary,C011,2024-12-07,2,61.65972291660585
online_all_primary,C012,2024-12-13,1,67.49890064890467
online_all_primary,C013,2025-01-18,2,70.93414754190604
online_all_primary,C014,2025-01-24,1,67.03908679621038
online_all_primary,C015,2025-02-08,1,76.0156971375808
online_all_primary,C016,2025-02-15,1,72.94511162750538
online_all_primary,C017,2025-02-21,1,77.02784136157594
online_all_primary,C018,2025-03-07,2,71.71070765816937
online_all_primary,C019,2025-03-22,1,70.14224144055815
online_all_primary,C020,2025-03-29,1,69.91400073227925
online_all_primary,C021,2025-04-11,1,76.18427290286435
online_all_primary,C022,2025-04-19,1,68.9463626518401
online_all_primary,C023,2025-04-26,1,74.3957780583626
online_all_primary,C024,2025-05-02,1,66.77217316506055
online_all_primary,C025,2025-05-17,3,68.9068843556005
online_all_primary,C026,2025-05-23,1,67.49744134519901
online_all_primary,C027,2025-05-31,1,65.25166207353506
online_all_primary,C028,2025-06-13,1,71.85463451844296
online_all_primary,C029,2025-08-15,1,65.6637738941065
online_all_primary,C030,2025-09-13,2,77.6810233967295
online_all_primary,C031,2025-09-19,1,75.41884383041658
online_all_primary,C032,2025-10-10,2,76.96354151775262
online_all_primary,C033,2025-10-25,1,82.04948787989782
online_all_primary,C034,2025-11-01,2,79.55956856494741
online_all_primary,C035,2025-11-14,2,70.64899845119791
online_all_primary,C036,2025-11-21,1,70.98602626879902
online_all_primary,C037,2025-11-29,1,80.07422449750594
online_all_primary,C038,2026-01-16,1,72.77234403455624
online_all_primary,C039,2026-01-24,2,76.88986264784941
online_all_primary,C040,2026-02-07,2,75.09923544284618
online_all_primary,C041,2026-02-13,1,76.49890259788688
online_all_primary,C042,2026-02-27,1,74.86348289480773
online_all_primary,C043,2026-03-07,1,65.8812914243421
online_all_primary,C044,2026-03-14,1,71.944154147354
online_all_primary,C045,2026-03-20,1,74.29353755793184
online_all_primary,C046,2026-03-28,1,76.21244724071003
online_all_primary,C047,2026-04-03,2,74.48712250993324
online_all_primary,C048,2026-04-25,1,78.14303271152072
online_all_primary,C049,2026-05-08,1,76.78635158347647
online_all_primary,C050,2026-05-16,2,77.2579197707564
online_all_primary,C051,2026-05-23,2,69.74528671984342
online_all_primary,C052,2026-05-29,1,67.47345053098938
online_all_primary,C053,2026-06-06,1,76.75366543512567
online_all_primary,C054,2026-06-12,1,70.36769707082135
online_all_primary,C055,2026-08-28,1,60.390902817633815
online_settled_primary,C004,2024-10-11,1,62.84074107797102
online_settled_primary,C005,2024-10-19,1,67.94419786604904
online_settled_primary,C006,2024-11-02,1,71.72498558193521
online_settled_primary,C008,2024-11-15,1,71.55998847062193
online_settled_primary,C010,2024-11-30,1,73.69696722398473
online_settled_primary,C011,2024-12-07,2,61.65972291660585
online_settled_primary,C012,2024-12-13,1,67.49890064890467
online_settled_primary,C013,2025-01-18,2,70.93414754190604
online_settled_primary,C014,2025-01-24,1,67.03908679621038
online_settled_primary,C016,2025-02-15,1,72.94511162750538
online_settled_primary,C017,2025-02-21,1,77.02784136157594
online_settled_primary,C018,2025-03-07,2,71.71070765816937
online_settled_primary,C019,2025-03-22,1,70.14224144055815
online_settled_primary,C020,2025-03-29,1,69.91400073227925
online_settled_primary,C022,2025-04-19,1,68.9463626518401
online_settled_primary,C023,2025-04-26,1,74.3957780583626
online_settled_primary,C024,2025-05-02,1,66.77217316506055
online_settled_primary,C025,2025-05-17,3,68.9068843556005
online_settled_primary,C026,2025-05-23,1,67.49744134519901
online_settled_primary,C027,2025-05-31,1,65.25166207353506
online_settled_primary,C030,2025-09-13,2,77.6810233967295
online_settled_primary,C031,2025-09-19,1,75.41884383041658
online_settled_primary,C033,2025-10-25,1,82.04948787989782
online_settled_primary,C034,2025-11-01,2,79.55956856494741
online_settled_primary,C035,2025-11-14,2,70.64899845119791
online_settled_primary,C036,2025-11-21,1,70.98602626879902
online_settled_primary,C038,2026-01-16,1,72.77234403455624
online_settled_primary,C039,2026-01-24,2,76.88986264784941
online_settled_primary,C040,2026-02-07,2,75.09923544284618
online_settled_primary,C041,2026-02-13,1,76.49890259788688
online_settled_primary,C042,2026-02-27,1,74.86348289480773
online_settled_primary,C044,2026-03-14,1,71.944154147354
online_settled_primary,C045,2026-03-20,1,74.29353755793184
online_settled_primary,C046,2026-03-28,1,76.21244724071003
online_settled_primary,C047,2026-04-03,2,74.48712250993324
online_settled_primary,C049,2026-05-08,1,76.78635158347647
online_settled_primary,C050,2026-05-16,2,77.2579197707564
online_settled_primary,C051,2026-05-23,2,69.74528671984342
online_settled_primary,C052,2026-05-29,1,67.47345053098938
online_settled_primary,C054,2026-06-12,1,70.36769707082135
online_transition_primary,C001,2024-09-13,1,76.81389284956062
online_transition_primary,C002,2024-09-28,2,73.09173969508927
online_transition_primary,C009,2024-11-22,1,70.2350464211781
online_transition_primary,C015,2025-02-08,1,76.0156971375808
online_transition_primary,C021,2025-04-11,1,76.18427290286435
online_transition_primary,C028,2025-06-13,1,71.85463451844296
online_transition_primary,C029,2025-08-15,1,65.6637738941065
online_transition_primary,C032,2025-10-10,2,76.96354151775262
online_transition_primary,C037,2025-11-29,1,80.07422449750594
